"Agency Code","Agency Name","Previous UII","Unique Investment Identifier","Shared Services Category","Shared Services Identifier","LOB Title","Mission Support Investment Category","Bureau Code","Bureau Name","Part Of IT Portfolio","Mission Delivery and Management Support Area","Type of Investment","National Security Systems Identifier","IT Infrastructure and Management Type","Line Item Descriptor","Investment Title","Investment Description","FEA BRM Services - Primary service area","Total IT Spending FY2018 (PY) ($ M)","Total IT Spending FY2019 (CY) ($ M)","Total IT Spending FY2020 (BY) ($ M)","DME PY Agency Funding ($ M)","DME PY Contributions ($ M)","DME CY Agency Funding ($ M)","DME CY Contributions ($ M)","DME BY Agency Funding ($ M)","DME BY Contributions ($ M)","DME BY Budget Authority Agency Funding ($ M)","O&M PY Agency Funding ($ M)","O&M PY Contributions ($ M)","O&M CY Agency Funding ($ M)","O&M CY Contributions ($ M)","O&M BY Agency Funding ($ M)","O&M BY Contributions ($ M)","O&M BY Budget Authority Agency Funding ($ M)","Cloud Computing Alternatives Evaluation","Total Cloud PaaS/IaaS Cost CY","Total Cloud SaaS Cost CY","Total Other Managed Services Cost CY","Budget Year","Derived Status","Updated Date","Updated Time"
"	010","Department of the Interior",010-000002256,010-000002256,"00 - Agency Investments",,N/A,"01 - Not Applicable","	00","Department of the Interior","03 - IT Infrastructure, IT Security, and IT Management","	00","05 - Standard IT Infrastructure","01 - Non-National Security System Investment","02 - IT Security & Compliance","00 - Investment Line","IBC - Infrastructure - IT Security & Compliance","This investment captures bureau infrastructure costs that roll up to a parent investment.","315 - Threat and Vulnerability Management",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"	4",0,0,0,2020,"Eliminated by funding",2019-04-03,18:52:01
"	010","Department of the Interior",010-000002378,010-000002378,"24 - E-Gov & LoB initiatives","0099 - E-Gov- LOB-Freedom of Information Act investment",N/A,"07 - Other","	00","Department of the Interior","02 - Administrative Services and Support Systems","	07","04 - Funding Transfer","01 - Non-National Security System Investment","01 - Not Applicable","00 - Investment Line","DOI - FOIA Portal (DOJ)","DOI's contribution to the FOIA Portal E-Gov initiative.","319 - Regulatory Compliance ",0,0.03,0.03,0,0,0,0,0,0,0,0,0,0.03,0,0.03,0,0.03,"	5",0,0,0,2020,"No change in status",2019-04-03,18:52:01
"	010","Department of the Interior",010-000001448,010-000001448,"00 - Agency Investments",,N/A,"01 - Not Applicable","	00","Department of the Interior","01 - Mission Delivery","	01","02 - Non-major IT","01 - Non-National Security System Investment","01 - Not Applicable","00 - Investment Line","OS - Receipts Expenditures and Allocation Model (REAM)","This investment estimates the projected mineral receipts for the Department of the Interior.","101 - Budget Formulation",0.095,0.103,0.101,0,0,0,0,0,0,0,0.095,0,0.103,0,0.101,0,0.101,"	4",0,0,0,2020,"No change in status",2019-04-03,18:52:01
"	010","Department of the Interior",010-000000310,010-000000310,"00 - Agency Investments",,N/A,"07 - Other","	00","Department of the Interior","02 - Administrative Services and Support Systems","	07","01 - Major IT","01 - Non-National Security System Investment","01 - Not Applicable","00 - Investment Line","DOI - Enterprise Facilities Maintenance & Management System (FMMS)","FMMS is a facility mgmt system involving multiple bureaus [BIA, BLM, FWS, NBC, USGS]. DOI owns/operates buildings, roads, structures, and assets that include Native American lands, critical infrastructure, parks and wildlife refuges.","129 - Reporting and Information",5.175915,5.175962,5.259022,0.085957,0,0.085957,0,0.085957,0,0.085957,5.089958,0,5.090005,0,5.173065,0,5.173065,"	6",0,0,0,2020,"No change in status",2019-04-03,18:52:01
"	010","Department of the Interior",010-000002321,010-000002321,"00 - Agency Investments",,N/A,"07 - Other","	00","Department of the Interior","02 - Administrative Services and Support Systems","	07","02 - Non-major IT","01 - Non-National Security System Investment","01 - Not Applicable","00 - Investment Line","DOI - Compliance Support ESF-11/ESF-11 Website","ESF #11 organizes and coordinates Federal support for the protection of the Nations agricultural and natural and cultural resources during national emergencies.  This investment is to support a website that provides program information.","008 - Disaster Preparedness and Planning",0.090902,0.106702,0.090902,0,0,0,0,0,0,0,0.090902,0,0.106702,0,0.090902,0,0.090902,"	4",0,0,0,2020,"No change in status",2019-04-03,18:52:01
"	010","Department of the Interior",010-000000368,010-000000368,"00 - Agency Investments",,N/A,"01 - Not Applicable","	00","Department of the Interior","01 - Mission Delivery","	02","01 - Major IT","01 - Non-National Security System Investment","01 - Not Applicable","00 - Investment Line","DOI - National Fire Plan Operations and Reporting System (NFPORS)","NFPORS is a web-based system that collects fuels data, reports plans & accomplishments along with restoration and community actions of 6 Fed agencies (in 2 Depts) land mgmt efforts for reporting wildland fire landscapes & wildland-urban interface.","318 - Business Analytics",0.285,1.215,1.317,0.029,0.115,1.015,0.115,0.767,0.115,0.767,0.256,0,0.2,0,0.55,0,0.55,"	1",0.196,0,0,2020,"No change in status",2019-04-03,18:52:01
"	010","Department of the Interior",,010-000002434,"00 - Agency Investments",,N/A,"07 - Other","	00","Department of the Interior","02 - Administrative Services and Support Systems","	07","02 - Non-major IT","01 - Non-National Security System Investment","01 - Not Applicable","00 - Investment Line","IBC - Business Enterprise Acquisition Reporting (BEAR)","BEAR provides a reporting, business intelligence, and data analytics platform with web-based functionality of more advanced features to meet the day-to-day needs of the contracting acquisition staff across all DOI AQD divisions.","318 - Business Analytics",2.103085,2.276024,2.26735,1.870686,0,1.977959,0,1.987028,0,1.987028,0.232399,0,0.298065,0,0.280322,0,0.280322,"	6",0,0,0,2020,New,2019-04-03,18:52:01
"	010","Department of the Interior",010-000000657,010-000000657,"00 - Agency Investments",,N/A,"07 - Other","	00","Department of the Interior","02 - Administrative Services and Support Systems","	07","02 - Non-major IT","01 - Non-National Security System Investment","01 - Not Applicable","00 - Investment Line","OS - Electronic Library of Interior Policies (ELIPS)","The Electronic Library of Interior Policies (ELIPS) is a web-based system that serves as a library for Department of the Interior policies, procedures, programs, and functions.","661 - Document Management and workflow",0.1658,0.1658,0.1658,0,0,0,0,0,0,0,0.1658,0,0.1658,0,0.1658,0,0.1658,"	4",0,0,0,2020,"No change in status",2019-04-03,18:52:01
"	010","Department of the Interior",010-000000330,010-000000330,"00 - Agency Investments",,N/A,"01 - Not Applicable","	00","Department of the Interior","03 - IT Infrastructure, IT Security, and IT Management","	00","06 - Non-Standard Infrastructure","01 - Non-National Security System Investment","01 - Not Applicable","00 - Investment Line","DOI - Infrastructure - End User Support","Includes all general purpose desktop and mobile hardware, peripherals and software employed directly by end users, cloud based DOI wide messaging and collaboration, IT help desk support and video conferencing.","340 - Collaboration Tools",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"	5",0,0,0,2020,"Eliminated by funding",2019-04-03,18:52:01
"	010","Department of the Interior",010-000000372,010-000000372,"00 - Agency Investments",,N/A,"01 - Not Applicable","	00","Department of the Interior","01 - Mission Delivery","	02","02 - Non-major IT","01 - Non-National Security System Investment","01 - Not Applicable","00 - Investment Line","DOI - Wildland Fire Decision Support System (WFDSS)","WFDSS assists federal land managers with making effective strategic decisions for wildland fire incidents by providing an intuitive, map based and scalable process for analyzing and choosing an appropriate course of action.","008 - Disaster Preparedness and Planning",1.019,1.019,0.936,0.3,0,0.3,0,0.426,0,0.426,0.719,0,0.719,0,0.51,0,0.51,"	3",0,0,0,2020,"No change in status",2019-04-03,18:52:01
"	010","Department of the Interior",010-000000319,010-000000319,"00 - Agency Investments",,N/A,"01 - Not Applicable","	00","Department of the Interior","01 - Mission Delivery","	05","01 - Major IT","01 - Non-National Security System Investment","01 - Not Applicable","00 - Investment Line","DOI - Incident Management, Analysis, and Reporting System (IMARS)","IMARS supports a DOI-wide collection, identification, analysis, management and reporting of information related to incidents from three inter-related activities of law enforcement and security, and emergency management.","047 - Crime Prevention",3.97067,4.1229,4.122933,0,0,0,0,0,0,0,3.97067,0,4.1229,0,4.122933,0,4.122933,"	6",0,0,0,2020,"No change in status",2019-04-03,18:52:01
"	010","Department of the Interior",010-000000708,010-000000708,"00 - Agency Investments",,N/A,"03 - Human Resources","	00","Department of the Interior","02 - Administrative Services and Support Systems","	07","02 - Non-major IT","01 - Non-National Security System Investment","01 - Not Applicable","00 - Investment Line","DOI - Safety Management Information System (SMIS)","The Safety Management Information System (SMIS) is used to report accidents; submit employee injury claims; analyze accident data; provide safety and worker compensation information to management and share common safety and health resources.","254 - Employee Benefits and Compensation",1.177,1.177,1.295252,0,0,0,0,0,0,0,1.177,0,1.177,0,1.295252,0,1.295252,"	5",0,0,0,2020,"No change in status",2019-04-03,18:52:01
"	010","Department of the Interior",010-000000313,010-000000313,"00 - Agency Investments",,N/A,"01 - Not Applicable","	00","Department of the Interior","01 - Mission Delivery","	07","02 - Non-major IT","01 - Non-National Security System Investment","01 - Not Applicable","00 - Investment Line","DOI - Environmental Management Information System","The Environmental Management Information System uses a Departmental level web-based platform to collect and manage DOI's environmental liability and associated environmental data.","023 - Environmental Monitoring and Forecasting",0.073368,0.06,0.1222,0.033,0,0,0,0.06,0,0.06,0.040368,0,0.06,0,0.0622,0,0.0622,"	4",0,0,0.06,2020,"No change in status",2019-04-03,18:52:01
"	010","Department of the Interior",010-000001456,010-000001456,"00 - Agency Investments",,N/A,"07 - Other","	00","Department of the Interior","02 - Administrative Services and Support Systems","	01","02 - Non-major IT","01 - Non-National Security System Investment","01 - Not Applicable","00 - Investment Line","OS - Secure Docket Suspension and Debarment Case Management System","This investment is the Secure Docket Suspension and Debarment Case Management System for the Department of the Interior.","531 - Case Management",0.096296,0.1,0.1,0,0,0,0,0,0,0,0.096296,0,0.1,0,0.1,0,0.1,"	5",0,0,0.031257,2020,"No change in status",2019-04-03,18:52:01
"	010","Department of the Interior",010-000000702,010-000000702,"00 - Agency Investments",,N/A,"07 - Other","	00","Department of the Interior","02 - Administrative Services and Support Systems","	07","02 - Non-major IT","01 - Non-National Security System Investment","01 - Not Applicable","00 - Investment Line","OS - OHA Docket Management System (DMS)","The Docket Management System (DMS) was developed to improve OHA's efficiency and effectiveness in tracking and reporting thousands of administrative cases that are filed or processed annually in OHA.","531 - Case Management",0.045,0.045,0.045,0,0,0,0,0,0,0,0.045,0,0.045,0,0.045,0,0.045,"	4",0,0,0,2020,"No change in status",2019-04-03,18:52:01
"	010","Department of the Interior",010-000002288,010-000002288,"00 - Agency Investments",,N/A,"07 - Other","	00","Department of the Interior","02 - Administrative Services and Support Systems","	07","02 - Non-major IT","01 - Non-National Security System Investment","01 - Not Applicable","00 - Investment Line","OS - MIB Building Automation System (BAS)","The MIB HVAC Building Automation System (BAS) is an Industrial Control System (ICS) that controls the heating, cooling and air flow within the MIB.","119 - Facilities, Fleet and Equipment Management",0.03,0.03,0.03,0,0,0,0,0,0,0,0.03,0,0.03,0,0.03,0,0.03,"	5",0,0,0,2020,"No change in status",2019-04-03,18:52:01
"	010","Department of the Interior",010-000000330,010-000002539,"00 - Agency Investments",,N/A,"01 - Not Applicable","	00","Department of the Interior","03 - IT Infrastructure, IT Security, and IT Management","	00","05 - Standard IT Infrastructure","01 - Non-National Security System Investment","06 - End User","00 - Investment Line","OCIO - Infrastructure - End User","OCIO standard End User investment.","139 - Provide and Maintain IT Infrastructure",25.417073,33.235383,33.17244,0,0,0,0,0,0,0,25.417073,0.246103,33.235383,0.285464,33.17244,0.29185,33.17244,"	1",0,12.0071,0,2020,Split,2019-04-03,18:52:01
"	010","Department of the Interior",010-000000700,010-000000700,"00 - Agency Investments",,N/A,"01 - Not Applicable","	00","Department of the Interior","01 - Mission Delivery","	05","02 - Non-major IT","01 - Non-National Security System Investment","01 - Not Applicable","00 - Investment Line","OS - Internal Affairs Branch Case Tracking System","This investment services DOI personnel involved in investigating and/or providing oversight of internal investigations involving DOI law enforcement personnel and non-law enforcement supervisors/managers connected to the law enforcement program.","045 - Criminal Investigation and Surveillance",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"	4",0,0,0,2020,"Eliminated by funding",2019-04-03,18:52:01
"	010","Department of the Interior",010-000001660,010-000001660,"00 - Agency Investments",,N/A,"01 - Not Applicable","	00","Department of the Interior","01 - Mission Delivery","	02","02 - Non-major IT","01 - Non-National Security System Investment","01 - Not Applicable","00 - Investment Line","DOI - Interagency Fuels Treatment Decision Support System (IFTDSS)","Provides interagency fire fuel specialists with a web-based [SOA] that organizes software tools in an integrated framework, making fuels treatment planning & analysis more effective, efficient, & defensible.  Reduces costs and improves decisions.","326 - IT System Development / Integration Support",0.726,0.78,0.775,0.576,0.656,0.605,0.803,0.44,0.531,0.44,0.15,0.15,0.175,0.175,0.335,0.375,0.335,"	1",0.098,0,0,2020,"No change in status",2019-04-03,18:52:01
"	010","Department of the Interior",010-000001917,010-000001917,"00 - Agency Investments",,N/A,"01 - Not Applicable","	00","Department of the Interior","01 - Mission Delivery","	07","02 - Non-major IT","01 - Non-National Security System Investment","01 - Not Applicable","00 - Investment Line","DOI - Interior Museum Collection Management System (IMCMS)","This is the second generation of ICMS to provide Department-wide consistency in accounting for, reporting on, and providing access to Interior museum collections for use in delivery of bureau mission and compliance activities to the American public.","129 - Reporting and Information",4.4675,2.7012,2.9714,4.4675,0,2.7012,0,2.9714,0,2.9714,0,0,0,0,0,0,0,"	3",0,0,0,2020,"No change in status",2019-04-03,18:52:01
"	010","Department of the Interior",010-000002163,010-000002163,"00 - Agency Investments",,N/A,"01 - Not Applicable","	00","Department of the Interior","03 - IT Infrastructure, IT Security, and IT Management","	00","06 - Non-Standard Infrastructure","01 - Non-National Security System Investment","01 - Not Applicable","00 - Investment Line","DOI - Infrastructure - Application","This investment supports and enables the development and operations & maintenance of Enterprise-wide applications, platforms, and licenses.","327 - Enterprise Licenses and Software",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"	5",0,0,0,2020,"Eliminated by funding",2019-04-03,18:52:01
"	010","Department of the Interior",010-000002087,010-000002087,"00 - Agency Investments",,N/A,"01 - Not Applicable","	00","Department of the Interior","01 - Mission Delivery","	02","02 - Non-major IT","01 - Non-National Security System Investment","01 - Not Applicable","00 - Investment Line","DOI - WildCAD","WildCAD is a COTS software that is used at local dispatch center on local computers to assist wildland fire dispatchers mobilize resources to incidents.","010 - Emergency Response",0.514,0.514,0.514,0,0,0,0,0,0,0,0.514,0.185,0.514,0.185,0.514,0.185,0.514,"	6",0,0,0,2020,"No change in status",2019-04-03,18:52:01
"	010","Department of the Interior",010-000000309,010-000000309,"00 - Agency Investments",,N/A,"03 - Human Resources","	00","Department of the Interior","02 - Administrative Services and Support Systems","	07","02 - Non-major IT","01 - Non-National Security System Investment","01 - Not Applicable","00 - Investment Line","DOI - Employee Labor Relations Tracking System (ELRTS)","This investment provides an automated system for enterprise-wide management of Employee Relations and Labor Relations workflows.","531 - Case Management",0.031802,0.031794,0,0,0,0,0,0,0,0,0.031802,0,0.031794,0,0,0,0,"	1",0,0.031794,0,2020,"No change in status",2019-04-03,18:52:02
"	010","Department of the Interior",010-000000709,010-000000709,"00 - Agency Investments",,N/A,"01 - Not Applicable","	00","Department of the Interior","01 - Mission Delivery","	05","02 - Non-major IT","01 - Non-National Security System Investment","01 - Not Applicable","00 - Investment Line","DOI - Volunteer.Gov","Volunteer.Gov is a Web-based, user-friendly, one-stop recruitment resource for public agencies that host citizen volunteers. The system was designed and developed through a multi-agency partnership.","251 - Staffing and Recruiting",2.607882,1.2467,1.2467,2.410386,0,0.186,0.428,0.186,0.428,0.186,0.197496,0.0822,1.0607,0.02,1.0607,0.02,1.0607,"	1",0.3,0,0,2020,"No change in status",2019-04-03,18:52:02
"	010","Department of the Interior",010-000000704,010-000000704,"00 - Agency Investments",,N/A,"07 - Other","	00","Department of the Interior","02 - Administrative Services and Support Systems","	05","02 - Non-major IT","01 - Non-National Security System Investment","01 - Not Applicable","00 - Investment Line","OS - OLES Physical Security Access Control System","OLES physical access control system protects the MIB from unauthorized entry which is part of HSPD-12.","121 - Security Management",0.964936,0.884852,0.51354,0,0,0,0,0,0,0,0.964936,0,0.884852,0,0.51354,0,0.51354,"	5",0,0,0,2020,"No change in status",2019-04-03,18:52:02
"	010","Department of the Interior",010-000000477,010-000000477,"00 - Agency Investments",,N/A,"04 - Procurement","	00","Department of the Interior","02 - Administrative Services and Support Systems","	01","02 - Non-major IT","01 - Non-National Security System Investment","01 - Not Applicable","00 - Investment Line","IBC - Customer Agreements System (CAS)","The IBC Customer Agreement Systems was used to create and track Inter-Agency Agreements (IAAs) with IBC customers.  IBC has adopted a new approach to developing customer agreements and this system is now retired.","680 - Issue Tracking",0,0,0,0,0,0,0,0,0,0,0,0.039316,0,0,0,0,0,"	5",0,0,0,2020,"Eliminated by funding",2019-04-03,18:52:02
"	010","Department of the Interior",010-000002181,010-000002181,"00 - Agency Investments",,N/A,"01 - Not Applicable","	00","Department of the Interior","03 - IT Infrastructure, IT Security, and IT Management","	00","06 - Non-Standard Infrastructure","01 - Non-National Security System Investment","01 - Not Applicable","00 - Investment Line","DOI - Infrastructure - Data Center and Cloud","This investment includes all hardware, software and services that support hosting of applications and related operations in DOI data centers and the cost of services obtained from cloud vendors.","139 - Provide and Maintain IT Infrastructure",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"	5",0,0,0,2020,"Eliminated by funding",2019-04-03,18:52:02
"	010","Department of the Interior",010-000000363,010-000000363,"00 - Agency Investments",,N/A,"01 - Not Applicable","	00","Department of the Interior","01 - Mission Delivery","	02","01 - Major IT","01 - Non-National Security System Investment","01 - Not Applicable","00 - Investment Line","DOI - Integrated Reporting of Wildland-Fire Information (IRWIN)","Integrated Reporting of Wildland-Fire Information (iRWIn) is Wildland Fire Info and Tech (WFIT) project to develop an end to end  fire reporting capability that provides integrated and coordinated process for collecting and reporting incident/event data.","010 - Emergency Response",3,3,2.452,2.21,0,2.06,0,0.6,0,0.6,0.79,0,0.94,0,1.852,0,1.852,"	1",0.287,1.054,0,2020,"No change in status",2019-04-03,18:52:02
"	010","Department of the Interior",010-000000318,010-000000318,"00 - Agency Investments",,N/A,"07 - Other","	00","Department of the Interior","02 - Administrative Services and Support Systems","	07","02 - Non-major IT","01 - Non-National Security System Investment","01 - Not Applicable","00 - Investment Line","DOI - Electronic FOIA Tracking System (EFTS)","DOI FOIA requests are required to be managed Department wide in accordance with the DOI FOIA Improvement Plan, using the web-based EFTS to improve efficiency, consistency, and requests and responses, and customer service.","319 - Regulatory Compliance ",1.8713,1.8713,1.901929,0,0,0,0,0,0,0,1.8713,0,1.8713,0,1.901929,0,1.901929,"	6",0,0,0,2020,"No change in status",2019-04-03,18:52:02
"	010","Department of the Interior",010-999991241,010-999991241,"36 - USSM shared service","1204 - IBC Shared Service Center (HRLoB)",N/A,"03 - Human Resources","	00","Department of the Interior","02 - Administrative Services and Support Systems","	01","01 - Major IT","01 - Non-National Security System Investment","01 - Not Applicable","00 - Investment Line","DOI - IBC Shared Service Center (HRLOB)","IBC HRLOB Shared Service Center uses FPPS to provide personnel/payroll services; allows IBC to expand its offerings to include OPM's full suite of HR services; integrates future e-Gov capabilities. Supports OPM's Shared First Initiative.","254 - Employee Benefits and Compensation",15.220567,18.248014,14.898246,0,0,0,0,0,0,0,15.220567,31.211956,18.248014,34.516981,14.898246,29.824583,14.898246,"	6",0,0,0,2020,"No change in status",2019-04-03,18:52:02
